date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-06-24,13:32:46,4,33.27,143.8,81.75,0.09,51.19,31.9,62,100,100,56,2.4,4.4,27,79.46333333333332
2025-06-24,14:18:37,4,33.27,143.8,81.75,0.09,51.19,31.9,62,102,102,58,2.4,3.9,27,79.45
2025-06-24,15:20:32,4,33.75,143.92,82.28,0.1,51.69,30.9,70,122,122,60,2.3,4.7,27,79.625
2025-06-24,16:23:41,4,34.2,143.78,82.49,0.1,52.07,30.9,70,98,98,51,2.3,3.9,26,79.715
2025-06-24,17:18:16,4,34.81,143.76,82.56,0.1,52.34,29.9,74,111,111,57,2.5,2.7,26,79.73
2025-06-24,18:26:14,4,35.79,144.99,82.55,0.1,52.62,29.9,74,82,82,43,2.4,3.2,26,79.71
2025-06-24,19:14:51,4,37.08,146.88,82.71,0.1,53.28,29.9,74,77,77,38,2.2,3.4,26.5,79.68
2025-06-24,20:20:49,4,38.35,148.76,83.54,0.1,54.5,29.9,74,96,96,52,2.1,3.3,26,79.66499999999999
2025-06-24,21:17:23,4,39.29,149.58,84.6,0.09,56.37,29.9,74,71,71,35,2.1,3,26,79.65
2025-06-24,22:17:38,4,39.96,149.51,86.21,0.09,59.09,29.9,74,76,76,40,2.4,2.4,26,79.68
