date,time,hour_of_day,day_of_week,is_weekend,aqi_index,main_pollutant,temp,humidity,pressure,wind_speed,forecast_1_temp,forecast_1_humidity,forecast_1_pressure,forecast_1_wind_speed,forecast_2_temp,forecast_2_humidity,forecast_2_pressure,forecast_2_wind_speed,forecast_3_temp,forecast_3_humidity,forecast_3_pressure,forecast_3_wind_speed,forecast_4_temp,forecast_4_humidity,forecast_4_pressure,forecast_4_wind_speed,forecast_5_temp,forecast_5_humidity,forecast_5_pressure,forecast_5_wind_speed,forecast_6_temp,forecast_6_humidity,forecast_6_pressure,forecast_6_wind_speed,forecast_7_temp,forecast_7_humidity,forecast_7_pressure,forecast_7_wind_speed,forecast_8_temp,forecast_8_humidity,forecast_8_pressure,forecast_8_wind_speed,forecast_9_temp,forecast_9_humidity,forecast_9_pressure,forecast_9_wind_speed,forecast_10_temp,forecast_10_humidity,forecast_10_pressure,forecast_10_wind_speed,forecast_11_temp,forecast_11_humidity,forecast_11_pressure,forecast_11_wind_speed,forecast_12_temp,forecast_12_humidity,forecast_12_pressure,forecast_12_wind_speed,forecast_13_temp,forecast_13_humidity,forecast_13_pressure,forecast_13_wind_speed,forecast_14_temp,forecast_14_humidity,forecast_14_pressure,forecast_14_wind_speed,forecast_15_temp,forecast_15_humidity,forecast_15_pressure,forecast_15_wind_speed,forecast_16_temp,forecast_16_humidity,forecast_16_pressure,forecast_16_wind_speed,forecast_17_temp,forecast_17_humidity,forecast_17_pressure,forecast_17_wind_speed,forecast_18_temp,forecast_18_humidity,forecast_18_pressure,forecast_18_wind_speed,forecast_19_temp,forecast_19_humidity,forecast_19_pressure,forecast_19_wind_speed,forecast_20_temp,forecast_20_humidity,forecast_20_pressure,forecast_20_wind_speed,forecast_21_temp,forecast_21_humidity,forecast_21_pressure,forecast_21_wind_speed,forecast_22_temp,forecast_22_humidity,forecast_22_pressure,forecast_22_wind_speed,forecast_23_temp,forecast_23_humidity,forecast_23_pressure,forecast_23_wind_speed,forecast_24_temp,forecast_24_humidity,forecast_24_pressure,forecast_24_wind_speed
2025-07-21,01:46:31,1,0,0,69,p2,28.9,79,1000,3.6,29.07,79,1000,5.74,29.45,77,1000,6.03,30.1,75,999,7.09,30.02,75,999,7.02,28.78,81,1000,6.31,28.45,81,1001,6.67,28.04,83,1000,6.84,28.37,80,1000,6.62,29,75,1001,6.79,30.34,70,1001,7.98,30.62,70,1000,8.6,29.74,74,998,9.04,28.58,79,999,9.13,28.46,79,1000,9.03,28.08,79,998,9.12,27.89,81,997,8.98,28.46,77,998,9.67,29.49,73,998,9.82,30,71,996,10.28,29.29,74,995,10.07,28.38,78,996,8.9,28.05,80,997,8.78,27.74,82,995,9,27.7,82,995,8.83
2025-07-21,03:43:16,3,0,0,67,p2,30.9,66,1000,4.12,30.78,69,1000,6.03,30.77,71,999,7.09,30.02,75,999,7.02,28.78,81,1000,6.31,28.45,81,1001,6.67,28.04,83,1000,6.84,28.37,80,1000,6.62,29,75,1001,6.79,30.34,70,1001,7.98,30.62,70,1000,8.6,29.74,74,998,9.04,28.58,79,999,9.13,28.46,79,1000,9.03,28.08,79,998,9.12,27.89,81,997,8.98,28.46,77,998,9.67,29.49,73,998,9.82,30,71,996,10.28,29.29,74,995,10.07,28.38,78,996,8.9,28.05,80,997,8.78,27.74,82,995,9,27.7,82,995,8.83,27.93,81,996,8.41
2025-07-21,04:41:42,4,0,0,70,p2,30.9,66,1000,4.12,31.07,66,1000,6.03,30.92,69,1000,7.09,30.37,72,999,7.02,28.78,81,1000,6.31,28.45,81,1001,6.67,28.04,83,1000,6.84,28.37,80,1000,6.62,29,75,1001,6.79,30.34,70,1001,7.98,30.62,70,1000,8.6,29.74,74,998,9.04,28.58,79,999,9.13,28.46,79,1000,9.03,28.08,79,998,9.12,27.89,81,997,8.98,28.46,77,998,9.67,29.49,73,998,9.82,30,71,996,10.28,29.29,74,995,10.07,28.38,78,996,8.9,28.05,80,997,8.78,27.74,82,995,9,27.7,82,995,8.83,27.93,81,996,8.41
2025-07-21,05:26:03,5,0,0,70,p2,31.9,62,1000,4.63,32.07,62,1000,6.03,31.59,66,1000,7.09,30.7,71,999,7.02,28.78,81,1000,6.31,28.45,81,1001,6.67,28.04,83,1000,6.84,28.37,80,1000,6.62,29,75,1001,6.79,30.34,70,1001,7.98,30.62,70,1000,8.6,29.74,74,998,9.04,28.58,79,999,9.13,28.46,79,1000,9.03,28.08,79,998,9.12,27.89,81,997,8.98,28.46,77,998,9.67,29.49,73,998,9.82,30,71,996,10.28,29.29,74,995,10.07,28.38,78,996,8.9,28.05,80,997,8.78,27.74,82,995,9,27.7,82,995,8.83,27.93,81,996,8.41
2025-07-21,06:29:51,6,0,0,67,p2,31.9,58,1000,5.14,31.59,63,1000,6.73,30.56,70,999,6.08,28.75,81,1000,6.59,28.39,81,1001,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86
2025-07-21,07:26:43,7,0,0,73,p2,32.9,49,999,5.14,32.14,58,1000,6.73,30.9,67,999,6.08,28.75,81,1000,6.59,28.39,81,1001,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86
2025-07-21,08:29:56,8,0,0,71,p2,33.9,46,999,6.17,34.07,46,999,6.73,32.65,56,999,6.08,30.52,70,1000,6.59,28.39,81,1001,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86
2025-07-21,09:27:25,9,0,0,71,p2,34.9,43,999,6.69,33.32,54,999,6.08,30.86,69,1000,6.59,28.39,81,1001,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86,29.66,74,994,8.43
2025-07-21,10:22:08,10,0,0,71,p2,34.9,46,998,6.17,33.32,56,999,6.08,30.86,70,1000,6.59,28.39,81,1001,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86,29.66,74,994,8.43
2025-07-21,11:17:25,11,0,0,77,p2,33.9,52,999,6.69,34.07,52,999,6.08,32.3,62,999,6.59,30.28,72,1000,6.61,27.52,85,1000,6.2,28,82,1000,6.32,28.5,80,1001,5.77,29.78,75,1001,7.33,30.33,73,1000,8.03,29.82,76,998,8.79,28.42,83,999,9.17,28.11,83,1000,8.69,28.05,82,998,8.8,27.93,83,997,9.05,28.38,79,998,9.9,29.15,75,998,9.92,29.4,75,996,10.42,29.17,76,995,9.86,28.27,80,996,9.23,27.96,81,996,8.96,27.74,83,995,8.87,27.61,84,995,9.28,28.03,80,995,9.06,29.06,76,996,8.86,29.66,74,994,8.43
