date,time,hour_of_day,day_of_week,is_weekend,aqi_index,pm2_5,pm10,co,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed,forecast_1_temp,forecast_1_humidity,forecast_1_pressure,forecast_1_wind_speed,forecast_2_temp,forecast_2_humidity,forecast_2_pressure,forecast_2_wind_speed,forecast_3_temp,forecast_3_humidity,forecast_3_pressure,forecast_3_wind_speed,forecast_4_temp,forecast_4_humidity,forecast_4_pressure,forecast_4_wind_speed,forecast_5_temp,forecast_5_humidity,forecast_5_pressure,forecast_5_wind_speed,forecast_6_temp,forecast_6_humidity,forecast_6_pressure,forecast_6_wind_speed,forecast_7_temp,forecast_7_humidity,forecast_7_pressure,forecast_7_wind_speed,forecast_8_temp,forecast_8_humidity,forecast_8_pressure,forecast_8_wind_speed,forecast_9_temp,forecast_9_humidity,forecast_9_pressure,forecast_9_wind_speed,forecast_10_temp,forecast_10_humidity,forecast_10_pressure,forecast_10_wind_speed,forecast_11_temp,forecast_11_humidity,forecast_11_pressure,forecast_11_wind_speed,forecast_12_temp,forecast_12_humidity,forecast_12_pressure,forecast_12_wind_speed,forecast_13_temp,forecast_13_humidity,forecast_13_pressure,forecast_13_wind_speed,forecast_14_temp,forecast_14_humidity,forecast_14_pressure,forecast_14_wind_speed,forecast_15_temp,forecast_15_humidity,forecast_15_pressure,forecast_15_wind_speed,forecast_16_temp,forecast_16_humidity,forecast_16_pressure,forecast_16_wind_speed,forecast_17_temp,forecast_17_humidity,forecast_17_pressure,forecast_17_wind_speed,forecast_18_temp,forecast_18_humidity,forecast_18_pressure,forecast_18_wind_speed,forecast_19_temp,forecast_19_humidity,forecast_19_pressure,forecast_19_wind_speed,forecast_20_temp,forecast_20_humidity,forecast_20_pressure,forecast_20_wind_speed,forecast_21_temp,forecast_21_humidity,forecast_21_pressure,forecast_21_wind_speed,forecast_22_temp,forecast_22_humidity,forecast_22_pressure,forecast_22_wind_speed,forecast_23_temp,forecast_23_humidity,forecast_23_pressure,forecast_23_wind_speed,forecast_24_temp,forecast_24_humidity,forecast_24_pressure,forecast_24_wind_speed
2025-08-29,01:20:12,1,4,0,81,15.45,48.3,112.36,0.08,47.62,0.24,0,27.9,74,1002,3.6,27.72,77,1002,5.58,28.2,76,1003,6.1,28.96,74,1001,5.74,28.53,76,1001,5.18,27.38,82,1002,4.91,27.08,83,1003,5.48,26.8,84,1003,4.7,27.16,81,1003,3.9,27.43,80,1005,4.21,28.62,73,1005,4.53,29.27,71,1004,5.61,28.62,74,1003,5.76,27.69,79,1004,4.78,27.27,81,1005,4.53,26.85,84,1004,5.32,26.85,84,1003,5.14,27.17,82,1005,6.06,28.42,76,1005,6.54,28.91,74,1003,7.41,28.24,77,1001,7.55,27.11,83,1002,7.31,26.99,81,1003,7.79,26.71,81,1001,7.59,26.73,80,1001,8.31
2025-08-29,03:00:51,3,4,0,69,15.37,49.58,114,0.09,47.6,0.23,0,28.9,74,1003,3.09,28.8,75,1003,6.1,29,74,1002,5.74,28.53,76,1001,5.18,27.38,82,1002,4.91,27.08,83,1003,5.48,26.8,84,1003,4.7,27.16,81,1003,3.9,27.43,80,1005,4.21,28.62,73,1005,4.53,29.27,71,1004,5.61,28.62,74,1003,5.76,27.69,79,1004,4.78,27.27,81,1005,4.53,26.85,84,1004,5.32,26.85,84,1003,5.14,27.17,82,1005,6.06,28.42,76,1005,6.54,28.91,74,1003,7.41,28.24,77,1001,7.55,27.11,83,1002,7.31,26.99,81,1003,7.79,26.71,81,1001,7.59,26.73,80,1001,8.31,27.02,77,1001,8.97
2025-08-29,04:21:41,4,4,0,94,15.19,49.67,114.86,0.07,47.38,0.22,0,27.9,78,1003,4.12,28.13,77,1003,6.1,28.66,75,1002,5.74,28.53,76,1001,5.18,27.38,82,1002,4.91,27.08,83,1003,5.48,26.8,84,1003,4.7,27.16,81,1003,3.9,27.43,80,1005,4.21,28.62,73,1005,4.53,29.27,71,1004,5.61,28.62,74,1003,5.76,27.69,79,1004,4.78,27.27,81,1005,4.53,26.85,84,1004,5.32,26.85,84,1003,5.14,27.17,82,1005,6.06,28.42,76,1005,6.54,28.91,74,1003,7.41,28.24,77,1001,7.55,27.11,83,1002,7.31,26.99,81,1003,7.79,26.71,81,1001,7.59,26.73,80,1001,8.31,27.02,77,1001,8.97
2025-08-29,05:16:49,5,4,0,73,14.87,49.12,116.18,0.06,47.39,0.21,0,29.9,70,1003,5.14,30.07,70,1003,6.1,29.7,72,1002,5.74,29.04,74,1002,5.18,27.38,82,1002,4.91,27.08,83,1003,5.48,26.8,84,1003,4.7,27.16,81,1003,3.9,27.43,80,1005,4.21,28.62,73,1005,4.53,29.27,71,1004,5.61,28.62,74,1003,5.76,27.69,79,1004,4.78,27.27,81,1005,4.53,26.85,84,1004,5.32,26.85,84,1003,5.14,27.17,82,1005,6.06,28.42,76,1005,6.54,28.91,74,1003,7.41,28.24,77,1001,7.55,27.11,83,1002,7.31,26.99,81,1003,7.79,26.71,81,1001,7.59,26.73,80,1001,8.31,27.02,77,1001,8.97
2025-08-29,06:26:03,6,4,0,77,14.51,48.34,117.76,0.05,47.31,0.2,0,31.9,58,1003,4.12,31.03,64,1002,5.68,29.7,70,1002,5.13,27.24,82,1002,5.44,26.92,83,1004,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19
2025-08-29,07:16:58,7,4,0,80,14.2,47.64,119.67,0.05,47.05,0.19,0,32.9,55,1002,4.12,31.71,61,1003,5.68,30.04,69,1002,5.13,27.24,82,1002,5.44,26.92,83,1004,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19
2025-08-29,08:22:54,8,4,0,92,13.95,46.87,121.4,0.04,46.67,0.19,0,32.9,58,1002,4.12,33.07,58,1002,5.68,31.55,64,1002,5.13,29.18,74,1002,5.44,26.92,83,1004,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19
2025-08-29,09:18:38,9,4,0,84,13.72,45.92,123.35,0.04,46.27,0.18,0,31.9,62,1001,5.14,30.89,67,1002,5.13,28.85,76,1002,5.44,26.92,83,1004,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19,28.36,73,1000,9.01
2025-08-29,10:18:12,10,4,0,77,13.58,45.29,125.55,0.04,46.27,0.17,0,31.9,62,1001,5.14,30.89,67,1002,5.13,28.85,76,1002,5.44,26.92,83,1004,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19,28.36,73,1000,9.01
2025-08-29,11:14:14,11,4,0,71,13.54,45.08,127.49,0.05,46.59,0.17,0,31.9,62,1000,4.12,32.07,62,1001,5.13,30.46,69,1001,5.44,28.64,76,1003,5.61,26.64,84,1003,4.82,27.05,80,1003,4.07,27.35,79,1004,4.37,28.61,73,1005,4.54,29.05,71,1004,5.61,28.44,74,1003,5.44,27.53,80,1004,4.87,27.14,82,1005,5.11,26.71,84,1004,6.14,26.79,83,1004,5.07,27.05,82,1005,6.36,28.36,77,1004,6.94,28.81,76,1002,7.76,28.06,78,1002,7.53,26.97,83,1002,7.85,26.92,82,1003,8.14,26.73,80,1001,8.05,26.6,80,1000,8.37,26.9,76,1001,9.41,28.17,71,1001,9.19,28.36,73,1000,9.01
2025-08-29,12:35:57,12,4,0,77,14.35,48.79,129.45,0.07,47.78,0.19,0,30.9,66,1001,6.17,29.16,74,1002,5,28,79,1003,5.45,26.58,85,1003,4.91,26.82,82,1003,3.6,27.19,80,1005,3.96,28.33,74,1005,4.37,28.88,72,1004,5.44,28.53,74,1003,5.52,27.46,81,1004,5.1,27,83,1005,4.77,26.57,85,1004,5.92,26.67,84,1003,5.46,26.92,83,1005,6.05,28.18,78,1005,6.96,28.51,76,1003,7.65,28,79,1002,7.55,27.04,83,1003,7.47,26.79,83,1003,7.92,26.6,82,1001,7.94,26.72,82,1001,8.16,27.11,78,1002,9.17,27.41,77,1002,9.13,28.5,73,1000,8.85,27.98,75,999,8.24
2025-08-29,13:26:01,13,4,0,75,14.01,45.77,131.49,0.08,47.89,0.2,0,29.9,70,1001,5.14,29.16,74,1002,5,28,79,1003,5.45,26.58,85,1003,4.91,26.82,82,1003,3.6,27.19,80,1005,3.96,28.33,74,1005,4.37,28.88,72,1004,5.44,28.53,74,1003,5.52,27.46,81,1004,5.1,27,83,1005,4.77,26.57,85,1004,5.92,26.67,84,1003,5.46,26.92,83,1005,6.05,28.18,78,1005,6.96,28.51,76,1003,7.65,28,79,1002,7.55,27.04,83,1003,7.47,26.79,83,1003,7.92,26.6,82,1001,7.94,26.72,82,1001,8.16,27.11,78,1002,9.17,27.41,77,1002,9.13,28.5,73,1000,8.85,27.98,75,999,8.24
